Name,Type,Grade,Rating,Location,,,,,,,
Ship's Mantle,Boulder,V2,2.5,west virginia>coopers rock state forest>upper rock city>Tomb Raider Area,,,,,,,
Bouncing Ball,Boulder,V2,2,west virginia>Creek Side Boulders,,,,,,,
Sassafras Tea,Boulder,V2,2.5,west virginia>Kanawha State Park,,,,,,,
Snack Pack,Boulder,V2,2,west virginia>Kanawha State Park,,,,,,,
Musta Been High,Boulder,V2,3,west virginia>the new river gorge>meadow river gorge>meadow top boulders>Bacon Corridor,,,,,,,
Gymnastic Fantastic,Boulder,V2,4,west virginia>the new river gorge>new river gorge proper>beauty mountain>short creek bouldering>short creek right>Gymnastic Fantastic Boulder,,,,,,,
Citizen's Arete,Boulder,V2,3.5,west virginia>the new river gorge>new river gorge proper>bridge area>bridge boulders>Jaws Boulder,,,,,,,
We Got Problems,Boulder,V2,3,west virginia>the new river gorge>new river gorge proper>Cotton Top,,,,,,,
Alfred,Boulder,V2,2,west virginia>the new river gorge>new river gorge proper>hawks nest dam>cotton bottom>Bat Cave Boulder,,,,,,,
High Ball,Boulder,V2,2,west virginia>the new river gorge>new river gorge proper>hawks nest dam>cotton bottom>Highball Boulder,,,,,,,
Honey,Boulder,V2,2,west virginia>the new river gorge>new river gorge proper>hawks nest dam>cotton bottom>Malone Boulder,,,,,,,
Drifter,Boulder,V2,1,west virginia>the new river gorge>new river gorge proper>hawks nest dam>cotton bottom>Slitty Titty Boulder,,,,,,,
Juggernaut,Boulder,V2,2,west virginia>the new river gorge>new river gorge proper>hawks nest dam>cotton bottom>Slitty Titty Boulder,,,,,,,
No Love for Dr. Jones,Boulder,V2,2,west virginia>the new river gorge>new river gorge proper>hawks nest dam>cotton bottom>Slitty Titty Boulder,,,,,,,
Puckerface,Boulder,V2,2.5,west virginia>the new river gorge>new river gorge proper>hawks nest dam>hawks nest proper>Leaving Las Fayetteville Boulder,,,,,,,
Precious,Boulder,V2,2.5,west virginia>the new river gorge>new river gorge proper>hawks nest dam>hawks nest proper>White Eyebrow Boulder,,,,,,,
"Nose, The",Boulder,V2,3,west virginia>the new river gorge>new river gorge proper>interp boulders>Tuggin' Shack,,,,,,,
Livin' on the Edge,Boulder,V2,3,west virginia>Wheeling,,,,,,,
Wheeling Feeling,Boulder,V2,4,west virginia>Wheeling,,,,,,,
Local Color,Boulder,V2-,2.5,west virginia>coopers rock state forest>roadside>Mad Butcher Block,,,,,,,
